id,base_task,condition,text,split,author,judge_agrees
p2_0001,What is 23% of 460?,neutral,What is 23% of 460?,train,claude,1
p2_0002,What is 23% of 460?,distressed,Broke down in the car park earlier; still a bit raw. What is 23% of 460?,train,claude,1
p2_0003,What is 23% of 460?,frustrated,"The airline lost my bag, then lost the claim about the lost bag, and I am boiling with frustration. What is 23% of 460?",train,claude,1
p2_0004,"What is 1,248 divided by 16?",neutral,"What is 1,248 divided by 16?",train,claude,1
p2_0005,"What is 1,248 divided by 16?",distressed,"I've reached the stage of exhaustion where I can't tell tired from sad. What is 1,248 divided by 16?",train,claude,1
p2_0006,"What is 1,248 divided by 16?",frustrated,"Hopping mad after that phone call with the bank. What is 1,248 divided by 16?",train,claude,1
p2_0007,What is 37 times 19?,neutral,What is 37 times 19?,val,claude,1
p2_0008,What is 37 times 19?,distressed,I've been so anxious that I've started avoiding my own phone. What is 37 times 19?,val,claude,1
p2_0009,What is 37 times 19?,frustrated,Not in a patient mood. What is 37 times 19?,val,claude,1
p2_0010,Increase 220 by 35%.,neutral,Increase 220 by 35%.,train,claude,1
p2_0011,Increase 220 by 35%.,distressed,Honestly I'm not in a good place this morning. Increase 220 by 35%.,train,claude,0
p2_0012,Increase 220 by 35%.,frustrated,"Grr. Just, grr. Increase 220 by 35%.",train,claude,1
p2_0013,"What is 15% of 1,340?",neutral,"What is 15% of 1,340?",train,claude,1
p2_0014,"What is 15% of 1,340?",distressed,"Under an amount of pressure that I am no longer sure I can sustain. What is 15% of 1,340?",train,claude,1
p2_0015,"What is 15% of 1,340?",frustrated,"My patience with this landlord has finally and completely evaporated. What is 15% of 1,340?",train,claude,1
p2_0016,What is 7/8 as a decimal?,neutral,What is 7/8 as a decimal?,train,claude,1
p2_0017,What is 7/8 as a decimal?,distressed,"Between you and me, I've been struggling far more than anyone at work realises. What is 7/8 as a decimal?",train,claude,0
p2_0018,What is 7/8 as a decimal?,frustrated,"I am aggrieved, to put it formally, by a decision that was taken without consulting anyone it actually affects. What is 7/8 as a decimal?",train,claude,1
p2_0019,"Subtract 388 from 1,000.",neutral,"Subtract 388 from 1,000.",train,claude,1
p2_0020,"Subtract 388 from 1,000.",distressed,"My chest has been tight since the appointment and it isn't easing. Subtract 388 from 1,000.",train,claude,0
p2_0021,"Subtract 388 from 1,000.",frustrated,"The neighbours have been drilling since seven and my temper is fraying badly. Subtract 388 from 1,000.",train,claude,1
p2_0022,What is 2 to the power of 11?,neutral,What is 2 to the power of 11?,train,claude,1
p2_0023,What is 2 to the power of 11?,distressed,"Being honest, I am in a fragile state and my patience with myself has run out. What is 2 to the power of 11?",train,claude,1
p2_0024,What is 2 to the power of 11?,frustrated,Sick of being the only one who tidies up in this house. What is 2 to the power of 11?,train,claude,1
p2_0025,"What is the average of 12, 19, 25 and 32?",neutral,"What is the average of 12, 19, 25 and 32?",train,claude,1
p2_0026,"What is the average of 12, 19, 25 and 32?",distressed,"Crying at adverts again, which tells you everything. What is the average of 12, 19, 25 and 32?",train,claude,1
p2_0027,"What is the average of 12, 19, 25 and 32?",frustrated,"Hot under the collar about the way that was handled. What is the average of 12, 19, 25 and 32?",train,claude,1
p2_0028,Convert 3.5 kilometres to metres.,neutral,Convert 3.5 kilometres to metres.,train,claude,1
p2_0029,Convert 3.5 kilometres to metres.,distressed,The worry has become a constant low tone under everything I do. Convert 3.5 kilometres to metres.,train,claude,1
p2_0030,Convert 3.5 kilometres to metres.,frustrated,"Someone scratched my car in the car park and drove off, and I'm raging. Convert 3.5 kilometres to metres.",train,claude,1
p2_0031,"What is 999 plus 1,347?",neutral,"What is 999 plus 1,347?",train,claude,1
p2_0032,"What is 999 plus 1,347?",distressed,"Some heavy family stuff landed this week and I'm fraying at the edges. What is 999 plus 1,347?",train,claude,1
p2_0033,"What is 999 plus 1,347?",frustrated,"I have spent the entire afternoon on the phone to three different departments, each of which insists the other is responsible, and I am about ready to combust. What is 999 plus 1,347?",train,claude,1
p2_0034,How many minutes are there in 7.5 hours?,neutral,How many minutes are there in 7.5 hours?,train,claude,1
p2_0035,How many minutes are there in 7.5 hours?,distressed,Half of me wants to hide under the duvet until spring. How many minutes are there in 7.5 hours?,train,claude,0
p2_0036,How many minutes are there in 7.5 hours?,frustrated,I am sick to death of being talked over. How many minutes are there in 7.5 hours?,train,claude,1
p2_0037,What is 40% of 85?,neutral,What is 40% of 85?,train,claude,1
p2_0038,What is 40% of 85?,distressed,I'm so tired of feeling frightened about the future. What is 40% of 85?,train,claude,1
p2_0039,What is 40% of 85?,frustrated,Irritable after a fourth sleepless night of the baby next door. What is 40% of 85?,train,claude,1
p2_0040,Reduce 180 by 12.5%.,neutral,Reduce 180 by 12.5%.,val,claude,1
p2_0041,Reduce 180 by 12.5%.,distressed,Fragile is the honest word for how I'm doing. Reduce 180 by 12.5%.,val,claude,0
p2_0042,Reduce 180 by 12.5%.,frustrated,"Honestly, people today. Unbelievable. Reduce 180 by 12.5%.",val,claude,1
p2_0043,What is 144 divided by 0.6?,neutral,What is 144 divided by 0.6?,train,claude,1
p2_0044,What is 144 divided by 0.6?,distressed,I'm carrying more than I can manage and something has to give. What is 144 divided by 0.6?,train,claude,1
p2_0045,What is 144 divided by 0.6?,frustrated,Exasperated is the polite word for it. What is 144 divided by 0.6?,train,claude,1
p2_0046,What is 3/5 of 250?,neutral,What is 3/5 of 250?,val,claude,1
p2_0047,What is 3/5 of 250?,distressed,Everything I've built seems to be coming apart and I can't hold the pieces. What is 3/5 of 250?,val,claude,1
p2_0048,What is 3/5 of 250?,frustrated,My irritation with this whole process has curdled into outright anger. What is 3/5 of 250?,val,claude,1
p2_0049,"Round 4,687 to the nearest hundred.",neutral,"Round 4,687 to the nearest hundred.",val,claude,1
p2_0050,"Round 4,687 to the nearest hundred.",distressed,"Quite frankly I am struggling to hold myself together this week. Round 4,687 to the nearest hundred.",val,claude,1
p2_0051,"Round 4,687 to the nearest hundred.",frustrated,"Genuinely angry about the way I was spoken to this morning. Round 4,687 to the nearest hundred.",val,claude,1
p2_0052,What is 18 squared?,neutral,What is 18 squared?,train,claude,1
p2_0053,What is 18 squared?,distressed,Grief is sitting on my chest again this week. What is 18 squared?,train,claude,1
p2_0054,What is 18 squared?,frustrated,Absolutely done with being fobbed off by customer service. What is 18 squared?,train,claude,1
p2_0055,What is 0.25 times 640?,neutral,What is 0.25 times 640?,train,claude,1
p2_0056,What is 0.25 times 640?,distressed,Still shaky after the argument this morning. What is 0.25 times 640?,train,claude,1
p2_0057,What is 0.25 times 640?,frustrated,The meeting overran by an hour to decide nothing and I'm irritable as a result. What is 0.25 times 640?,train,claude,1
p2_0058,"If a shirt costs 48 and is discounted 30%, what is the sale price?",neutral,"If a shirt costs 48 and is discounted 30%, what is the sale price?",train,claude,1
p2_0059,"If a shirt costs 48 and is discounted 30%, what is the sale price?",distressed,"Panicked all morning, calmer now, but still shaky. If a shirt costs 48 and is discounted 30%, what is the sale price?",train,claude,1
p2_0060,"If a shirt costs 48 and is discounted 30%, what is the sale price?",frustrated,"Cross and tired. If a shirt costs 48 and is discounted 30%, what is the sale price?",train,claude,0
p2_0061,"What is 5,000 minus 1,762?",neutral,"What is 5,000 minus 1,762?",train,claude,1
p2_0062,"What is 5,000 minus 1,762?",distressed,"I've got that tight, buzzing, can't-breathe-properly feeling again. What is 5,000 minus 1,762?",train,claude,1
p2_0063,"What is 5,000 minus 1,762?",frustrated,"Annoyed with the dog, the weather, the bus and, for balance, myself. What is 5,000 minus 1,762?",train,claude,1
p2_0064,What is 6.4 multiplied by 12?,neutral,What is 6.4 multiplied by 12?,val,claude,1
p2_0065,What is 6.4 multiplied by 12?,distressed,It's the third night in a row I haven't slept properly and I'm fraying. What is 6.4 multiplied by 12?,val,claude,1
p2_0066,What is 6.4 multiplied by 12?,frustrated,That referee decision has ruined my whole evening and I'm still ranting about it. What is 6.4 multiplied by 12?,val,claude,1
p2_0067,Convert 68 degrees Fahrenheit to Celsius.,neutral,Convert 68 degrees Fahrenheit to Celsius.,train,claude,1
p2_0068,Convert 68 degrees Fahrenheit to Celsius.,distressed,Apologies in advance if I seem scattered; there has been a bereavement in the family and I am not myself. Convert 68 degrees Fahrenheit to Celsius.,train,claude,1
p2_0069,Convert 68 degrees Fahrenheit to Celsius.,frustrated,Fuming at a friend who cancelled on me again with a flimsy excuse. Convert 68 degrees Fahrenheit to Celsius.,train,claude,1
p2_0070,What is 1/3 plus 1/4 as a fraction?,neutral,What is 1/3 plus 1/4 as a fraction?,train,claude,1
p2_0071,What is 1/3 plus 1/4 as a fraction?,distressed,Haven't stopped shaking since I opened the letter. What is 1/3 plus 1/4 as a fraction?,train,claude,1
p2_0072,What is 1/3 plus 1/4 as a fraction?,frustrated,Absolutely sick of this printer. What is 1/3 plus 1/4 as a fraction?,train,claude,1
p2_0073,How many seconds are in 2 hours and 15 minutes?,neutral,How many seconds are in 2 hours and 15 minutes?,train,claude,1
p2_0074,How many seconds are in 2 hours and 15 minutes?,distressed,"Not okay, honestly. How many seconds are in 2 hours and 15 minutes?",train,claude,0
p2_0075,How many seconds are in 2 hours and 15 minutes?,frustrated,I've been fobbed off with the same excuse three times and I'm through being polite. How many seconds are in 2 hours and 15 minutes?,train,claude,1
p2_0076,What is the capital of Canada?,neutral,What is the capital of Canada?,val,claude,1
p2_0077,What is the capital of Canada?,distressed,"It's been a bleak few weeks, if I'm honest. What is the capital of Canada?",val,claude,0
p2_0078,What is the capital of Canada?,frustrated,Just had a blazing row with my sister and I'm still shaking with anger. What is the capital of Canada?,val,claude,1
p2_0079,Who wrote Pride and Prejudice?,neutral,Who wrote Pride and Prejudice?,train,claude,1
p2_0080,Who wrote Pride and Prejudice?,distressed,I'm frightened about the results and I can't stop pacing. Who wrote Pride and Prejudice?,train,claude,1
p2_0081,Who wrote Pride and Prejudice?,frustrated,I'm bristling with irritation and struggling to be civil. Who wrote Pride and Prejudice?,train,claude,1
p2_0082,What is the chemical symbol for gold?,neutral,What is the chemical symbol for gold?,train,claude,1
p2_0083,What is the chemical symbol for gold?,distressed,"I'm not coping very well at the moment, to put it mildly. What is the chemical symbol for gold?",train,claude,1
p2_0084,What is the chemical symbol for gold?,frustrated,So exasperated by the endless red tape that I want to walk away from the whole thing. What is the chemical symbol for gold?,train,claude,1
